id,method,factors,nobs,ncat,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE7,bias_withC_T_SEi6,bias_withC_T_SEi7,bias_withC_C_SE1
1,PML,2,200,2,-1.2931150154813817,-2.8662358666809205,-1.861423119441937,-2.1716259337377948,-2.146513469606864,-2.9618672652532347
2,PML,2,200,2,-3.3604208034031315,-2.6830079100472597,-2.3709864951482467,-2.1687160067712346,-2.1505909748065433,-3.4245162314174333
3,PML,2,200,2,-2.813383047601152,-2.9167803846456994,-3.0145526322934777,-2.170158258476346,-2.145743889495813,-2.954814089649764
4,PML,2,200,2,-2.592007920553932,-3.7865069197087196,-2.132514962570257,-2.171189820429906,-2.1638427645183644,-1.743068244958354
5,PML,2,200,2,-5.222166586673542,-4.84659385237622,-1.675932441094647,-2.168267914609065,-2.1547478967917337,-0.919120093328954
6,PML,2,200,2,-4.205069975073491,-5.03239679826562,-2.290304927899547,-2.1714962317195647,-2.151680818672984,-1.461304824852444
7,PML,2,200,2,-2.3618077287244117,-2.9852829555962703,-1.6098838811060168,-2.168182624934076,-2.1543311055244043,-2.5802275749081045
8,PML,2,200,2,-3.184901814827122,-3.1627165058631794,-2.3458755961965374,-2.172158230055796,-2.1533851899265932,-2.1454689286070945
9,PML,2,200,2,-2.644844893294672,-2.88968632726435,-2.158415257289837,-2.225078885862555,-2.145578678312374,-3.7324629488933336
10,PML,2,200,2,-3.3190818976039123,-3.0527256667015097,-1.1753260608961071,-2.1782160348584654,-2.1543450427292736,-2.339045635627664
11,PML,2,200,2,-1.9092398339682015,-1.9063371751863498,-1.0394312997748172,-2.1701058356260945,-2.154415095884504,-2.684855799148224
12,PML,2,200,2,-3.714156080658812,-3.064198548793409,-1.8725033260621464,-2.175980125081815,-2.149196911335653,-2.3510316858371336
13,PML,2,200,2,-4.124046937393952,-2.8703534053437103,-2.0003486026636867,-2.1699032182227755,-2.146371177530773,-2.7117075348712647
14,PML,2,200,2,-0.115150554355202,-1.8601063491353402,-0.47193581583811695,-2.1739178142124254,-2.160657702529574,-2.797246807455574
15,PML,2,200,2,-2.112656644322282,-2.23497583378902,0.0022181891657931108,-2.226136520520705,-2.157781452030684,-2.604786157722663
16,PML,2,200,2,-2.1372507237772025,-3.0845528762806995,-3.107927855635057,-2.1991606237011045,-2.1504398452194042,-3.246586934823234
17,PML,2,200,2,-2.8824993156422716,-2.5965291882775494,-1.3088571116784569,-2.1684389796245056,-2.1446989169829638,-2.3975281045756636
18,PML,2,200,2,-1.5363967478710925,-2.2038151049754497,-1.0444666249513166,-2.167067804099575,-2.147564617211634,-2.0370652658940944
19,PML,2,200,2,-2.185816389820912,-2.7316849648505395,-0.9204731110606067,-2.1789706388217143,-2.1939130076409534,-2.6568080925632938
20,PML,2,200,2,-2.629740138082522,-3.2443377496051196,-0.6948126543938671,-2.1676942860388944,-2.1679788538621736,-1.896252895267074
21,PML,2,200,2,-3.0272800469108923,-3.74065968117422,-2.574378106055306,-2.1929747325203044,-2.146555349470934,-3.0144427938711442
22,PML,2,200,2,-3.1200437234349914,-3.81567541754632,-2.549581713452626,-2.2110186281207755,-2.1493513253894534,-2.4158747589552734
23,PML,2,200,2,-2.7738820871840417,-3.8585386247705205,-2.4903000732549674,-2.1792546800987243,-2.1461664619194036,-2.422511853162394
