id,method,factors,nobs,ncat,bias_withoutC_L_SE6,bias_withoutC_L_SE7,bias_withoutC_T_SEi6,bias_withoutC_T_SEi7,bias_withoutC_C_SE1
1,PML,2,200,2,-1.2691517093541855,-1.8404557582595293,-2.165894767725611,-2.139544078978152,-2.820557147537664
2,PML,2,200,2,-3.800801613955075,-2.36513240826389,-2.163229923499262,-2.143433597073921,-3.766133668088044
3,PML,2,200,2,-2.217735512899395,-3.047594489667929,-2.165509220598652,-2.138507166823342,-2.6992154846618046
4,PML,2,200,2,-0.22793393652139476,-2.1214212243757093,-2.1668527789927907,-2.156809406183091,-1.2827157103013132
5,PML,2,200,2,-3.0758488570793454,-1.6714618048369996,-2.162001341393821,-2.147731776727621,-0.8509571846628636
6,PML,2,200,2,-1.9198355212560247,-2.2799086776620197,-2.1655354968704215,-2.144604956250201,-1.2063425803229042
7,PML,2,200,2,-1.535741723620715,-1.6286245376382493,-2.162849613089092,-2.147433700310951,-2.520907595630484
8,PML,2,200,2,-1.2927815327935244,-2.36233578211157,-2.167833392486561,-2.1461765897498415,-2.018138682057903
9,PML,2,200,2,-3.011096498470625,-2.166733729112179,-2.218828040955062,-2.138455620760392,-3.823514919335644
10,PML,2,200,2,-2.5389620738762053,-1.2060194240389996,-2.172499626196281,-2.147042357933082,-2.3724738107883434
11,PML,2,200,2,-1.5381786421849453,-1.0723180777307197,-2.165674190225951,-2.147118019286562,-2.884812659947494
12,PML,2,200,2,-1.7426755720845246,-1.9688429392294897,-2.171396643644971,-2.1418030301246613,-2.2044782404520236
13,PML,2,200,2,-3.6916309462193846,-2.10915704503324,-2.163538031672031,-2.138731132641232,-3.0127149072505537
14,PML,2,200,2,0.012155609766265063,-0.43176061381561964,-2.168617360805071,-2.1536944239455917,-2.731650893633314
15,PML,2,200,2,-1.2167125284586855,-0.10887743640291964,-2.222242842928421,-2.150471750744312,-2.524897345139894
16,PML,2,200,2,-1.9012566207991146,-2.8879372611017198,-2.1940723496855314,-2.143722333827662,-3.0810358225092345
17,PML,2,200,2,-1.6854582076757454,-1.303501768898009,-2.1643904722426317,-2.137412442348162,-2.2804184327385832
18,PML,2,200,2,-0.877091100231895,-1.056221728685909,-2.1619582855649218,-2.1404275982350214,-2.0614593118359337
19,PML,2,200,2,-1.583791438695925,-0.9460528909286697,-2.173395365743272,-2.1869627812672516,-2.5735995455733143
20,PML,2,200,2,-0.8318911242190551,-0.6865057438265696,-2.1616559224423018,-2.160965951030251,-1.8793499829064335
21,PML,2,200,2,-2.8748919789136145,-2.5438570024439695,-2.186724620372242,-2.1394890231249923,-2.941875419871144
22,PML,2,200,2,-1.078310261379075,-2.5673407268484896,-2.206198637495861,-2.1422850967575515,-2.189288800992084
23,PML,2,200,2,-1.9809313553914645,-2.408166201400509,-2.173505603293742,-2.139340981830151,-2.5084721667027132
24,PML,2,200,2,-2.226964144741815,-4.53935292152673,-2.1628175844998516,-2.142120318587351,-3.0306607946930435
25,PML,2,200,2,-2.6945436199346946,-1.5676243889704795,-2.163331207125871,-2.158559624251172,-3.070351200983554
26,PML,2,200,2,-4.309498165927934,-0.6327677317096297,-2.2189327934580616,-2.1388260244726007,-3.077390484299214
27,PML,2,200,2,-4.226203765019615,-3.49500579638604,-2.186055294140611,-2.171573392854202,-4.575385300419244
28,PML,2,200,2,-1.096101601157705,-1.4365685898098293,-2.1638814527648416,-2.158809980911722,-2.6309573166685336
29,PML,2,200,2,-3.056925540974605,-1.319483222583869,-2.1938451752330015,-2.1498944396910318,-3.237807286058024
30,PML,2,200,2,-1.5727746055161542,-2.3845865258346697,-2.162678314401281,-2.1400295671687717,-2.2941499280500834
31,PML,2,200,2,-1.8222755639197854,-1.120997624992849,-2.1630330107983706,-2.157408239003311,-2.7038175188450237
32,PML,2,200,2,-1.8503061361838948,-3.50655927110987,-2.1614503787912023,-2.1419321546950116,-2.194957835815714
33,PML,2,200,2,-2.9315036648984645,-2.4729341410537593,-2.204604464894401,-2.1395106419239016,-4.576479473991844
34,PML,2,200,2,-2.210884830464585,-0.7065154381274592,-2.1748531864776113,-2.139546809787482,-2.818153361123954
35,PML,2,200,2,-1.984224293490655,-1.2682121095914192,-2.161071442524161,-2.1403600371283416,-2.036420881587854
36,PML,2,200,2,-2.142292346927505,-0.2345254091515793,-2.204893425597812,-2.183877134558912,-2.8558347736064333
37,PML,2,200,2,-2.7731477073085347,-1.6568355122994392,-2.1768509518195716,-2.1883110454566217,-2.846977236660883
38,PML,2,200,2,-1.445478100925475,-2.0292625852349295,-2.169732054645901,-2.145949688304792,-1.0553233076129334
39,PML,2,200,2,-1.904419763871215,-2.76022806384629,-2.187819319557162,-2.140070940994182,-2.6225555523911233
40,PML,2,200,2,-2.1604216944471344,-4.3113844827326595,-2.162424702956252,-2.172825717401662,-2.8965737401106835
41,PML,2,200,2,-1.6693640364153342,-1.851511709444159,-2.1645591829816917,-2.140415788506632,-3.880451504064343
42,PML,2,200,2,-2.6613656745412744,-1.4167775649049295,-2.1913513051971214,-2.136766505711242,-2.7355959184908336
43,PML,2,200,2,-2.831928304770645,-3.5418602869734888,-2.1620208430283117,-2.1444969164247514,-1.9051962136880332
44,PML,2,200,2,-2.7192314416599443,-1.1669470042872097,-2.1641208966669714,-2.149459993753301,-3.515719318193143
45,PML,2,200,2,-2.4732032657390546,-0.7160934228931694,-2.1710296293192806,-2.140115870430291,-1.9920599745594638
