id,method,factors,nobs,bias_withC_L_SE2,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE8,bias_withC_L_SE12,bias_withC_T_SEi8.b,bias_withC_T_SEi12.b,bias_withC_C_SE1,bias_withC_Errvar_SE2,bias_withC_Errvar_SE6
1,DWLS,2,200,-1.8655391367763139,-1.1239412543645986,-1.1599050104807191,0.07834527126708221,-0.9714285319147219,-2.103113799564632,-2.244499222500741,-1.406802817454237,-0.6983964405491961,-0.7222903207437861
2,DWLS,2,200,-2.099798034270544,-1.7468673603761593,-1.415991512029339,-1.8722338002937273,-1.443427962535452,-2.0997975599344523,-2.2385561403703513,-1.7781396141407966,-0.8456801139786461,-1.4424275142384064
3,DWLS,2,200,-3.797868926898974,-1.6450870264886182,-1.6196387432325592,0.060083435624132264,-0.3426737085459722,-2.0997975599344616,-2.2078633900871516,-1.5774862539858472,-1.3549683181608554,-0.8574240429335162
4,DWLS,2,200,-2.5806146143436535,-2.551686196098659,-2.0607991912023387,-0.44837980447923753,-1.347782508023742,-2.0908995774786723,-2.2098933244870915,-1.2614902135333277,-2.4575477138222555,-0.759135881900036
5,DWLS,2,200,-2.0172001618608446,-2.799933562453479,-2.7708332876842996,-0.13153948166802765,-0.48493939654028206,-2.0929295118785927,-2.2086243460357506,0.38555670816793275,-2.721760556860446,-1.616714130961436
6,DWLS,2,200,-1.8186270038116938,-1.417651256344419,-2.2024625372226887,-0.9780638089636272,-0.7505390853861725,-2.0997975599344523,-2.2116714050776407,-1.0213946482895067,-1.098903910532406,-0.35197638983135576
7,DWLS,2,200,-1.8501840628037134,-2.143225423869689,-1.4568439887927394,-2.4552317834991477,-0.8972223253462821,-2.0929295118785816,-2.207863390087171,-2.009443551425657,0.31517216544737425,-1.211397736259736
8,DWLS,2,200,-0.9192192255083442,-1.3322915586505384,-1.2976048638788393,-0.6693719840759573,-1.175667274336902,-2.0916605334272615,-2.2167613725429707,-0.8412027792245279,-0.377039019739666,-0.15050647334594602
9,DWLS,2,200,-1.507034477863644,-1.0839372399925087,-0.800416947024829,0.21783618477622252,-1.0110634285224525,-2.1161831140900325,-2.2078633900871907,-2.0838671294658266,-1.4178109614750758,-0.4299479306642859
10,DWLS,2,200,-1.013213683461834,-0.8586266038428589,-0.48521661476903927,-0.8722174189977776,-0.6735218639294425,-2.111303038929592,-2.208624346035741,-1.0031511418147767,0.2305373623401344,-0.41993531746245605
11,DWLS,2,200,-1.6108227660315535,-1.7092301638909493,-1.0640565067498788,-0.40758672613753766,-1.2170265794388722,-2.195037849598412,-2.2086243460357506,-0.8731763302282973,-1.2963501631823255,-1.2152802905346858
12,DWLS,2,200,-2.0131721182212536,-2.2922193703217886,-1.979402100362259,-0.3172843096329772,-1.4632894457345316,-2.094707592469142,-2.207863390087171,-1.2501396990751972,-2.0077656457132456,-1.6460029585391458
13,DWLS,2,200,-1.2924831604571134,-1.2513515658420786,-0.770715376173569,-0.46546170573738765,-1.732313939351552,-2.0916605334272518,-2.2098933244870915,-0.8491209816263466,-2.6609335691843166,0.053132864946774105
14,DWLS,2,200,-1.4570135029178846,-1.9688809625218093,-1.5491089658457489,0.07129564666894239,-0.8850889324315923,-2.0906459972972717,-2.2282668515380912,-1.5804528712285375,-1.4802297561711057,-1.5534978398710362
15,DWLS,2,200,-1.4238325538222039,-1.1998113025863086,-1.0568033044070189,0.1862638074697026,-0.6053952604491819,-2.090645997297252,-2.258008411058951,-1.391365519626147,-1.792095399649156,-0.4249143713746857
16,DWLS,2,200,-1.0589330309407439,-0.7961332570197988,-0.7352923212220988,-0.8355039165320176,-1.0952799389040617,-2.091660533427242,-2.2098933244870804,-1.8820280040183177,0.11706861073708386,-0.05143830206533612
17,DWLS,2,200,-2.0503275023658043,-0.785494096456859,-0.49945930369709873,-0.08649522164398751,-0.35656319543874226,-2.0916605334272518,-2.2086243460357506,-1.0381847202155479,0.4619070244861141,-0.1307546776098456
18,DWLS,2,200,-2.2573254410846837,-0.5981686594507589,-1.0645533427419793,-0.30642263892386723,-1.2049571199048723,-2.0908995774786625,-2.2086243460357506,-1.201866228949617,0.25236795841993426,-0.6275136955176362
