id,method,factors,nobs,bias_withoutC_L_SE2,bias_withoutC_L_SE6,bias_withoutC_L_SE8,bias_withoutC_L_SE12,bias_withoutC_T_SEi8.b,bias_withoutC_T_SEi12.b,bias_withoutC_C_SE1,bias_withoutC_Errvar_SE2,bias_withoutC_Errvar_SE6
1,DWLS,2,200,-0.7105325664760825,-0.37188363157082266,-0.08869658708276149,-0.7469598466960949,-2.0377913249874062,-2.2009081972855977,-2.3320247805198453,1.7722607336074199,0.7191943294947496
2,DWLS,2,200,-0.8670124163316327,-0.3926329206010923,-1.8099290034506117,-2.267354853680385,-2.058791917564547,-2.2041379193443276,-2.0910177599812356,1.2236370089485193,0.8518019168987299
3,DWLS,2,200,-0.518518118149433,-0.12897629687953285,-0.012585626934431826,-0.3099093020158351,-2.026969731254026,-2.1608377871990188,-2.3056765426707355,1.3284653827341397,0.49278249460924933
4,DWLS,2,200,-1.2765920224489227,0.6521169021054374,-0.2777888904199513,-1.2283594192578047,-2.041280564751227,-2.1734100932278384,-1.0125757020803052,1.1205513301455292,0.5960848814582892
5,DWLS,2,200,-1.4569232403710226,-1.2130947139420825,-0.42083727195315196,-0.8398297000562647,-2.0143323144289766,-2.1627164602800173,0.1865798519988346,0.5488195480909092,-0.026054824238171126
6,DWLS,2,200,-0.9743599095601525,-1.353312025974962,-1.0688753764086316,-0.7674021701663549,-2.037735731395317,-2.1689390966624975,-1.2599316517951347,1.0721304474505895,-1.1829567029301407
7,DWLS,2,200,-0.7094707989831229,0.3795451306905374,-2.2669521862892212,-0.6690374907818951,-2.0536158310856063,-2.1728303590252187,-2.298132346129525,1.9181299964539198,0.6080863305796596
8,DWLS,2,200,-0.8116000858149924,0.3361305246746271,-0.3758224188034419,-2.266314020655284,-2.0142396267532265,-2.1681145604370387,-1.0526069197105345,2.572486135397249,0.8649939623070195
9,DWLS,2,200,-2.0738200114344427,-0.9019382160057432,0.1877781323103185,-1.8120056579398345,-2.0440397289902865,-2.1670855329007686,-3.0289426750869346,0.2814937561776698,0.7033080220342596
10,DWLS,2,200,-0.8560114768809628,-0.38825788255038296,-0.5921793215197514,-0.9619407314364046,-2.058608338701086,-2.162702622711768,-2.0456432597447947,1.7696035773520593,0.4206905462861794
11,DWLS,2,200,-0.79785203375438285,-0.05021372405517241,-0.33743108979065184,-1.6786684361684345,-2.1313101497027365,-2.1646364998332683,-0.8063113776001551,1.6756349117542098,0.6755547442302196
12,DWLS,2,200,-1.5084115672606722,-0.12496023800305234,-0.3253533145216314,-1.4638640878928855,-2.028629489805747,-2.1682230967217775,-1.2681642401090751,-0.7329602017672008,-0.15359375481648063
13,DWLS,2,200,-2.3920044411879235,-0.04434985312787229,-0.6412626211391416,-1.4959704570293746,-2.007399682349467,-2.172249284027668,-1.4584633486248846,0.3363548396497391,1.8278081476271795
14,DWLS,2,200,-1.1219864464740832,-0.07389432945761262,0.03832754054846829,-0.9033233324646548,-2.0327402639352563,-2.1855232714456383,-1.3038054739418352,1.8398717786015797,0.5222676640997397
15,DWLS,2,200,-2.330726345817322,-0.5639753713737718,0.06944599110650859,-0.9172197054405349,-2.038822389177036,-2.205630718654668,-1.6539327061535658,0.5614672058525394,0.47239776000636974
16,DWLS,2,200,-0.8005968516138224,-0.20549961457992233,-0.5856687916331517,-0.9351881666662447,-2.0415584187763667,-2.168580661010408,-1.8388704039312946,0.9474257118994898,1.1703196439541992
17,DWLS,2,200,-0.7619175365914728,-0.07052699933708245,-0.4146402372328717,0.07575137867586526,-2.018379576287907,-2.1595322029056785,-1.3601654888017345,1.0076201179502495,0.8725233895028294
18,DWLS,2,200,0.06351101072140722,-0.6394080148718728,-0.6861569671706715,-1.6515724464553654,-2.015054706556137,-2.165205134676988,-1.4996409203899748,2.1031828011772196,0.7954304146487894
19,DWLS,2,200,-0.9121272479211628,0.43561902875346725,-0.452182886604742,-1.9503482920264146,-2.0347754076394162,-2.185060640081768,-1.5028140615228656,2.0505497283329093,1.2540114118727692
20,DWLS,2,200,-0.6064623491914528,-0.7320256594397125,-0.08638749006885174,-1.5982256532901042,-2.033119847953037,-2.145398933141318,-0.8423542720023158,1.8522602441803697,-0.21554096634555098
21,DWLS,2,200,-1.3172850918491332,-1.243605606978053,-0.9337957437042619,-1.265519359987715,-2.0487464120120564,-2.173831687769179,-1.5319118468927848,0.6626580474293993,-1.3906834370918206
22,DWLS,2,200,-0.9331705837670928,0.34828942396700757,0.5589235452990085,-1.4416868378214944,-2.021953599591607,-2.1811195407575577,-0.7599041632964751,0.7859088385566995,0.8982441790301097
23,DWLS,2,200,-0.3579298984583826,0.1490401952458073,-1.647234209759052,-1.6198502767623344,-2.0445241854848666,-2.195054916268298,-1.1004451797082149,0.8972882801101194,1.2446706719673093
24,DWLS,2,200,-1.4194779570615232,-0.671711816237043,-1.4980037325951614,-0.7073897256146446,-2.0284923240292962,-2.1605877557167488,-2.0100514476436846,1.8276257425072198,-0.038288264588209886
25,DWLS,2,200,-1.3746178856373228,0.4940074445728977,-0.8039300583912619,-1.3388846742613647,-2.028653951788517,-2.204601169564978,-1.4273633355060351,1.2992829415674394,1.5985135610288796
26,DWLS,2,200,-0.4973331475196525,-0.22479628687535197,-0.48233156101975194,-1.764949421661345,-2.0278620171491473,-2.1744189223602577,-1.6517900312372449,0.8041485161980194,-0.33894574207972983
27,DWLS,2,200,-1.6848029469509134,-0.5918662588915227,-1.7240043072204516,-0.8377658313369646,-2.0599187715650364,-2.2195831540002584,-2.315150668409545,0.3148318533284497,1.1858585503738897
28,DWLS,2,200,-1.0004319544399225,-1.5857583988862125,-0.8473788360034519,-1.8412672624682755,-2.024094573122717,-2.1532544366573885,-1.2409400836995654,1.3242123215473591,0.4662352689171395
29,DWLS,2,200,-0.9980297995714725,-1.0850458588025926,-0.6104542037933418,-1.6067043047012648,-2.0382932991458964,-2.1687982491150684,-1.8372078506624645,1.5869880241817098,-0.41925009988156015
30,DWLS,2,200,-0.9764831483679425,-0.955421896358602,-0.6454254257705614,-0.706164915652735,-2.032016069675287,-2.1701635233839083,-0.7134810180419047,2.1504619077266196,0.7751884562631997
31,DWLS,2,200,-0.9481893738345231,-0.09305821865652278,-0.38293652278960155,-1.0445921775783746,-2.0531695090375863,-2.1626500396484687,-1.2986251391956847,1.3948514598776898,0.2882072287833992
32,DWLS,2,200,-0.3077656510744826,-0.006391453063182839,-0.6343247284431114,-1.113656168699155,-2.034438320814316,-2.1728871046403184,-0.669217824834055,1.5070429372263994,0.6074275633343493
